,Driver,Name_x,URL_x,Year_x,Race_Result,DNG_Reason,Match,Unnamed: 0,Serial,URL_y,Name_y,Year_y
75,Sébastien Loeb,Repco Rally New Zealand,/entryinfo/159-repco-rally-new-zealand-2008/18526/,2008,1,Null,159-repco-rally-new-zealand-2008,130.0,131.0,/final/159-repco-rally-new-zealand-2008/,159-repco-rally-new-zealand-2008,2008.0
655,Mikko Hirvonen,RallyRACC Catalunya - Costa Daurada,/entryinfo/160-rallyracc-catalunya-costa-daurada-2008/19484/,2008,3,Null,160-rallyracc-catalunya-costa-daurada-2008,131.0,132.0,/final/160-rallyracc-catalunya-costa-daurada-2008/,160-rallyracc-catalunya-costa-daurada-2008,2008.0
74,Sébastien Loeb,RallyRACC Catalunya - Costa Daurada,/entryinfo/160-rallyracc-catalunya-costa-daurada-2008/19482/,2008,1,Null,160-rallyracc-catalunya-costa-daurada-2008,131.0,132.0,/final/160-rallyracc-catalunya-costa-daurada-2008/,160-rallyracc-catalunya-costa-daurada-2008,2008.0
73,Sébastien Loeb,Tour de Corse - Rallye de France,/entryinfo/161-tour-de-corse-rallye-de-france-2008/21190/,2008,1,Null,161-tour-de-corse-rallye-de-france-2008,132.0,133.0,/final/161-tour-de-corse-rallye-de-france-2008/,161-tour-de-corse-rallye-de-france-2008,2008.0
654,Mikko Hirvonen,Tour de Corse - Rallye de France,/entryinfo/161-tour-de-corse-rallye-de-france-2008/21192/,2008,2,Null,161-tour-de-corse-rallye-de-france-2008,132.0,133.0,/final/161-tour-de-corse-rallye-de-france-2008/,161-tour-de-corse-rallye-de-france-2008,2008.0
72,Sébastien Loeb,Pioneer Carrozzeria Rally Japan,/entryinfo/162-pioneer-carrozzeria-rally-japan-2008/21384/,2008,3,Null,162-pioneer-carrozzeria-rally-japan-2008,133.0,134.0,/final/162-pioneer-carrozzeria-rally-japan-2008/,162-pioneer-carrozzeria-rally-japan-2008,2008.0
653,Mikko Hirvonen,Pioneer Carrozzeria Rally Japan,/entryinfo/162-pioneer-carrozzeria-rally-japan-2008/21387/,2008,1,Null,162-pioneer-carrozzeria-rally-japan-2008,133.0,134.0,/final/162-pioneer-carrozzeria-rally-japan-2008/,162-pioneer-carrozzeria-rally-japan-2008,2008.0
71,Sébastien Loeb,Wales Rally GB,/entryinfo/163-wales-rally-gb-2008/21692/,2008,1,Null,163-wales-rally-gb-2008,134.0,135.0,/final/163-wales-rally-gb-2008/,163-wales-rally-gb-2008,2008.0
652,Mikko Hirvonen,Wales Rally GB,/entryinfo/163-wales-rally-gb-2008/21694/,2008,8,Null,163-wales-rally-gb-2008,134.0,135.0,/final/163-wales-rally-gb-2008/,163-wales-rally-gb-2008,2008.0
342,Sébastien Ogier,Wales Rally GB,/entryinfo/163-wales-rally-gb-2008/21705/,2008,2,Null,163-wales-rally-gb-2008,134.0,135.0,/final/163-wales-rally-gb-2008/,163-wales-rally-gb-2008,2008.0
341,Sébastien Ogier,Rally Ireland,/entryinfo/388-rally-ireland-2009/28109/,2009,6,Null,388-rally-ireland-2009,135.0,136.0,/final/388-rally-ireland-2009/,388-rally-ireland-2009,2009.0
70,Sébastien Loeb,Rally Ireland,/entryinfo/388-rally-ireland-2009/28100/,2009,1,Null,388-rally-ireland-2009,135.0,136.0,/final/388-rally-ireland-2009/,388-rally-ireland-2009,2009.0
651,Mikko Hirvonen,Rally Ireland,/entryinfo/388-rally-ireland-2009/28102/,2009,3,Null,388-rally-ireland-2009,135.0,136.0,/final/388-rally-ireland-2009/,388-rally-ireland-2009,2009.0
340,Sébastien Ogier,Rally Norway,/entryinfo/389-rally-norway-2009/28862/,2009,1,Null,389-rally-norway-2009,136.0,137.0,/final/389-rally-norway-2009/,389-rally-norway-2009,2009.0
69,Sébastien Loeb,Rally Norway,/entryinfo/389-rally-norway-2009/28854/,2009,1,Null,389-rally-norway-2009,136.0,137.0,/final/389-rally-norway-2009/,389-rally-norway-2009,2009.0
650,Mikko Hirvonen,Rally Norway,/entryinfo/389-rally-norway-2009/28856/,2009,2,Null,389-rally-norway-2009,136.0,137.0,/final/389-rally-norway-2009/,389-rally-norway-2009,2009.0
339,Sébastien Ogier,FxPro Cyprus Rally,/entryinfo/390-fxpro-cyprus-rally-2009/29769/,2009,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Stuck in the ditch                            </div>",390-fxpro-cyprus-rally-2009,137.0,138.0,/final/390-fxpro-cyprus-rally-2009/,390-fxpro-cyprus-rally-2009,2009.0
649,Mikko Hirvonen,FxPro Cyprus Rally,/entryinfo/390-fxpro-cyprus-rally-2009/29760/,2009,2,Null,390-fxpro-cyprus-rally-2009,137.0,138.0,/final/390-fxpro-cyprus-rally-2009/,390-fxpro-cyprus-rally-2009,2009.0
68,Sébastien Loeb,FxPro Cyprus Rally,/entryinfo/390-fxpro-cyprus-rally-2009/29575/,2009,1,Null,390-fxpro-cyprus-rally-2009,137.0,138.0,/final/390-fxpro-cyprus-rally-2009/,390-fxpro-cyprus-rally-2009,2009.0
648,Mikko Hirvonen,Vodafone Rally de Portugal,/entryinfo/391-vodafone-rally-de-portugal-2009/30952/,2009,2,Null,391-vodafone-rally-de-portugal-2009,138.0,139.0,/final/391-vodafone-rally-de-portugal-2009/,391-vodafone-rally-de-portugal-2009,2009.0
857,Ott Tänak,Vodafone Rally de Portugal,/entryinfo/391-vodafone-rally-de-portugal-2009/31002/,2009,2,Null,391-vodafone-rally-de-portugal-2009,138.0,139.0,/final/391-vodafone-rally-de-portugal-2009/,391-vodafone-rally-de-portugal-2009,2009.0
67,Sébastien Loeb,Vodafone Rally de Portugal,/entryinfo/391-vodafone-rally-de-portugal-2009/30950/,2009,1,Null,391-vodafone-rally-de-portugal-2009,138.0,139.0,/final/391-vodafone-rally-de-portugal-2009/,391-vodafone-rally-de-portugal-2009,2009.0
338,Sébastien Ogier,Vodafone Rally de Portugal,/entryinfo/391-vodafone-rally-de-portugal-2009/30960/,2009,1,Null,391-vodafone-rally-de-portugal-2009,138.0,139.0,/final/391-vodafone-rally-de-portugal-2009/,391-vodafone-rally-de-portugal-2009,2009.0
647,Mikko Hirvonen,Rally Argentina,/entryinfo/392-rally-argentina-2009/32176/,2009,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Engine                            </div>",392-rally-argentina-2009,139.0,140.0,/final/392-rally-argentina-2009/,392-rally-argentina-2009,2009.0
337,Sébastien Ogier,Rally Argentina,/entryinfo/392-rally-argentina-2009/32183/,2009,7,Null,392-rally-argentina-2009,139.0,140.0,/final/392-rally-argentina-2009/,392-rally-argentina-2009,2009.0
66,Sébastien Loeb,Rally Argentina,/entryinfo/392-rally-argentina-2009/32174/,2009,1,Null,392-rally-argentina-2009,139.0,140.0,/final/392-rally-argentina-2009/,392-rally-argentina-2009,2009.0
