Driver,Serial,Race_Result
Elfyn Evans,210.0,6.0
Mikko Hirvonen,210.0,5.0
Ott Tänak,210.0,
Sébastien Loeb,210.0,
Sébastien Ogier,210.0,1.0
Thierry Neuville,210.0,8.0
Tommi Mäkinen,210.0,
Carlos Sainz,211.0,
Colin McRae,211.0,
Elfyn Evans,211.0,1.0
Mikko Hirvonen,211.0,3.0
Ott Tänak,211.0,
Sébastien Loeb,211.0,
Sébastien Ogier,211.0,1.0
Thierry Neuville,211.0,6.0
Tommi Mäkinen,211.0,
Carlos Sainz,212.0,
Colin McRae,212.0,
Elfyn Evans,212.0,5.0
Mikko Hirvonen,212.0,2.0
Ott Tänak,212.0,7.0
Sébastien Loeb,212.0,
Sébastien Ogier,212.0,1.0
Thierry Neuville,212.0,4.0
Tommi Mäkinen,212.0,
Carlos Sainz,213.0,
Colin McRae,213.0,
Elfyn Evans,213.0,7.0
Mikko Hirvonen,213.0,
Ott Tänak,213.0,1.0
Sébastien Loeb,213.0,8.0
Sébastien Ogier,213.0,1.0
Thierry Neuville,213.0,5.0
Tommi Mäkinen,213.0,
Carlos Sainz,214.0,
Colin McRae,214.0,
Elfyn Evans,214.0,6.0
Mikko Hirvonen,214.0,
Ott Tänak,214.0,4.0
Sébastien Loeb,214.0,
Sébastien Ogier,214.0,1.0
Thierry Neuville,214.0,2.0
Tommi Mäkinen,214.0,
Carlos Sainz,215.0,
Colin McRae,215.0,
Elfyn Evans,215.0,4.0
Mikko Hirvonen,215.0,
Ott Tänak,215.0,2.0
Sébastien Loeb,215.0,
Sébastien Ogier,215.0,1.0
Thierry Neuville,215.0,8.0
Tommi Mäkinen,215.0,
Carlos Sainz,216.0,
Colin McRae,216.0,
Elfyn Evans,216.0,3.0
Mikko Hirvonen,216.0,
Ott Tänak,216.0,1.0
Sébastien Loeb,216.0,
Sébastien Ogier,216.0,1.0
Thierry Neuville,216.0,
Tommi Mäkinen,216.0,
Carlos Sainz,217.0,
Colin McRae,217.0,
Elfyn Evans,217.0,6.0
Mikko Hirvonen,217.0,
Ott Tänak,217.0,5.0
Sébastien Loeb,217.0,
Sébastien Ogier,217.0,2.0
Thierry Neuville,217.0,3.0
Tommi Mäkinen,217.0,
Carlos Sainz,218.0,
Colin McRae,218.0,
Elfyn Evans,218.0,4.0
Mikko Hirvonen,218.0,
Ott Tänak,218.0,1.0
Sébastien Loeb,218.0,
Sébastien Ogier,218.0,1.0
Thierry Neuville,218.0,3.0
Tommi Mäkinen,218.0,
Carlos Sainz,219.0,
Colin McRae,219.0,
Elfyn Evans,219.0,
Mikko Hirvonen,219.0,
Ott Tänak,219.0,3.0
Sébastien Loeb,219.0,
Sébastien Ogier,219.0,1.0
Thierry Neuville,219.0,6.0
Tommi Mäkinen,219.0,
Carlos Sainz,220.0,
Colin McRae,220.0,
Elfyn Evans,220.0,1.0
Mikko Hirvonen,220.0,
Ott Tänak,220.0,5.0
Sébastien Loeb,220.0,
Sébastien Ogier,220.0,2.0
Thierry Neuville,220.0,4.0
Tommi Mäkinen,220.0,
Carlos Sainz,221.0,
Colin McRae,221.0,
Elfyn Evans,221.0,6.0
Mikko Hirvonen,221.0,
Ott Tänak,221.0,8.0
Sébastien Loeb,221.0,
Sébastien Ogier,221.0,1.0
Thierry Neuville,221.0,5.0
Tommi Mäkinen,221.0,
Carlos Sainz,222.0,
Colin McRae,222.0,
Elfyn Evans,222.0,9.0
Mikko Hirvonen,222.0,
Ott Tänak,222.0,6.0
Sébastien Loeb,222.0,
Sébastien Ogier,222.0,1.0
Thierry Neuville,222.0,7.0
Tommi Mäkinen,222.0,
Carlos Sainz,223.0,
Colin McRae,223.0,
Elfyn Evans,223.0,2.0
Mikko Hirvonen,223.0,
Ott Tänak,223.0,1.0
Sébastien Loeb,223.0,
Sébastien Ogier,223.0,1.0
Thierry Neuville,223.0,2.0
Tommi Mäkinen,223.0,
Carlos Sainz,224.0,
Colin McRae,224.0,
Elfyn Evans,224.0,3.0
Mikko Hirvonen,224.0,
Ott Tänak,224.0,4.0
Sébastien Loeb,224.0,
Sébastien Ogier,224.0,
Thierry Neuville,224.0,8.0
Tommi Mäkinen,224.0,
Carlos Sainz,225.0,
Colin McRae,225.0,
Elfyn Evans,225.0,6.0
Mikko Hirvonen,225.0,
Ott Tänak,225.0,
Sébastien Loeb,225.0,
Sébastien Ogier,225.0,1.0
Thierry Neuville,225.0,
Tommi Mäkinen,225.0,
Carlos Sainz,226.0,
Colin McRae,226.0,
Elfyn Evans,226.0,
Mikko Hirvonen,226.0,
Ott Tänak,226.0,7.0
Sébastien Loeb,226.0,
Sébastien Ogier,226.0,1.0
Thierry Neuville,226.0,3.0
Tommi Mäkinen,226.0,
Carlos Sainz,227.0,
Colin McRae,227.0,
Elfyn Evans,227.0,
Mikko Hirvonen,227.0,
Ott Tänak,227.0,5.0
Sébastien Loeb,227.0,
Sébastien Ogier,227.0,1.0
Thierry Neuville,227.0,1.0
Tommi Mäkinen,227.0,
Carlos Sainz,228.0,
Colin McRae,228.0,
Elfyn Evans,228.0,
Mikko Hirvonen,228.0,
Ott Tänak,228.0,6.0
Sébastien Loeb,228.0,
Sébastien Ogier,228.0,2.0
Thierry Neuville,228.0,
Tommi Mäkinen,228.0,
Carlos Sainz,229.0,
Colin McRae,229.0,
Elfyn Evans,229.0,
Mikko Hirvonen,229.0,
Ott Tänak,229.0,1.0
Sébastien Loeb,229.0,
Sébastien Ogier,229.0,2.0
Thierry Neuville,229.0,6.0
Tommi Mäkinen,229.0,
Carlos Sainz,230.0,
Colin McRae,230.0,
Elfyn Evans,230.0,
Mikko Hirvonen,230.0,
Ott Tänak,230.0,
Sébastien Loeb,230.0,
Sébastien Ogier,230.0,3.0
Thierry Neuville,230.0,2.0
Tommi Mäkinen,230.0,
Carlos Sainz,231.0,
Colin McRae,231.0,
Elfyn Evans,231.0,
Mikko Hirvonen,231.0,
Ott Tänak,231.0,5.0
Sébastien Loeb,231.0,
Sébastien Ogier,231.0,3.0
Thierry Neuville,231.0,1.0
Tommi Mäkinen,231.0,
Carlos Sainz,232.0,
Colin McRae,232.0,
Elfyn Evans,232.0,
Mikko Hirvonen,232.0,
Ott Tänak,232.0,2.0
Sébastien Loeb,232.0,
Sébastien Ogier,232.0,6.0
Thierry Neuville,232.0,4.0
Tommi Mäkinen,232.0,
Carlos Sainz,233.0,
Colin McRae,233.0,
Elfyn Evans,233.0,
Mikko Hirvonen,233.0,
Ott Tänak,233.0,
Sébastien Loeb,233.0,
Sébastien Ogier,233.0,2.0
Thierry Neuville,233.0,4.0
Tommi Mäkinen,233.0,
Carlos Sainz,234.0,
Colin McRae,234.0,
Elfyn Evans,234.0,
Mikko Hirvonen,234.0,
Ott Tänak,234.0,2.0
Sébastien Loeb,234.0,
Sébastien Ogier,234.0,1.0
Thierry Neuville,234.0,3.0
Tommi Mäkinen,234.0,
Carlos Sainz,235.0,
Colin McRae,235.0,
Elfyn Evans,235.0,
Mikko Hirvonen,235.0,
Ott Tänak,235.0,1.0
Sébastien Loeb,235.0,
Sébastien Ogier,235.0,1.0
Thierry Neuville,235.0,2.0
Tommi Mäkinen,235.0,
Carlos Sainz,236.0,
Colin McRae,236.0,
Elfyn Evans,236.0,
Mikko Hirvonen,236.0,
Ott Tänak,236.0,6.0
Sébastien Loeb,236.0,
Sébastien Ogier,236.0,1.0
Thierry Neuville,236.0,3.0
Tommi Mäkinen,236.0,
Carlos Sainz,237.0,
Colin McRae,237.0,
Elfyn Evans,237.0,
Mikko Hirvonen,237.0,
Ott Tänak,237.0,2.0
Sébastien Loeb,237.0,
Sébastien Ogier,237.0,1.0
Thierry Neuville,237.0,3.0
Tommi Mäkinen,237.0,
Carlos Sainz,238.0,
Colin McRae,238.0,
Elfyn Evans,238.0,
Mikko Hirvonen,238.0,
Ott Tänak,238.0,7.0
Sébastien Loeb,238.0,
Sébastien Ogier,238.0,2.0
Thierry Neuville,238.0,3.0
Tommi Mäkinen,238.0,
Carlos Sainz,239.0,
Colin McRae,239.0,
Elfyn Evans,239.0,6.0
Mikko Hirvonen,239.0,
Ott Tänak,239.0,3.0
Sébastien Loeb,239.0,
Sébastien Ogier,239.0,1.0
Thierry Neuville,239.0,1.0
Tommi Mäkinen,239.0,
Carlos Sainz,240.0,
Colin McRae,240.0,
Elfyn Evans,240.0,6.0
Mikko Hirvonen,240.0,
Ott Tänak,240.0,2.0
Sébastien Loeb,240.0,
Sébastien Ogier,240.0,3.0
Thierry Neuville,240.0,1.0
Tommi Mäkinen,240.0,
Carlos Sainz,241.0,
Colin McRae,241.0,
Elfyn Evans,241.0,9.0
Mikko Hirvonen,241.0,
Ott Tänak,241.0,4.0
Sébastien Loeb,241.0,
Sébastien Ogier,241.0,2.0
Thierry Neuville,241.0,3.0
Tommi Mäkinen,241.0,
Carlos Sainz,242.0,
Colin McRae,242.0,
Elfyn Evans,242.0,2.0
Mikko Hirvonen,242.0,
Ott Tänak,242.0,1.0
Sébastien Loeb,242.0,
Sébastien Ogier,242.0,2.0
Thierry Neuville,242.0,1.0
Tommi Mäkinen,242.0,
Carlos Sainz,243.0,
Colin McRae,243.0,
Elfyn Evans,243.0,2.0
Mikko Hirvonen,243.0,
Ott Tänak,243.0,3.0
Sébastien Loeb,243.0,
Sébastien Ogier,243.0,4.0
Thierry Neuville,243.0,1.0
Tommi Mäkinen,243.0,
Carlos Sainz,244.0,
Colin McRae,244.0,
Elfyn Evans,244.0,6.0
Mikko Hirvonen,244.0,
Ott Tänak,244.0,4.0
Sébastien Loeb,244.0,
Sébastien Ogier,244.0,1.0
Thierry Neuville,244.0,2.0
Tommi Mäkinen,244.0,
Carlos Sainz,245.0,
Colin McRae,245.0,
Elfyn Evans,245.0,
Mikko Hirvonen,245.0,
Ott Tänak,245.0,1.0
Sébastien Loeb,245.0,
Sébastien Ogier,245.0,5.0
Thierry Neuville,245.0,3.0
Tommi Mäkinen,245.0,
Carlos Sainz,246.0,
Colin McRae,246.0,
Elfyn Evans,246.0,8.0
Mikko Hirvonen,246.0,
Ott Tänak,246.0,
Sébastien Loeb,246.0,
Sébastien Ogier,246.0,3.0
Thierry Neuville,246.0,1.0
Tommi Mäkinen,246.0,
Carlos Sainz,247.0,
Colin McRae,247.0,
Elfyn Evans,247.0,2.0
Mikko Hirvonen,247.0,
Ott Tänak,247.0,7.0
Sébastien Loeb,247.0,
Sébastien Ogier,247.0,
Thierry Neuville,247.0,6.0
Tommi Mäkinen,247.0,
Carlos Sainz,248.0,
Colin McRae,248.0,
Elfyn Evans,248.0,6.0
Mikko Hirvonen,248.0,
Ott Tänak,248.0,1.0
Sébastien Loeb,248.0,
Sébastien Ogier,248.0,3.0
Thierry Neuville,248.0,4.0
Tommi Mäkinen,248.0,
Carlos Sainz,249.0,
Colin McRae,249.0,
Elfyn Evans,249.0,7.0
Mikko Hirvonen,249.0,
Ott Tänak,249.0,3.0
Sébastien Loeb,249.0,
Sébastien Ogier,249.0,2.0
Thierry Neuville,249.0,
Tommi Mäkinen,249.0,
Carlos Sainz,250.0,
Colin McRae,250.0,
Elfyn Evans,250.0,1.0
Mikko Hirvonen,250.0,
Ott Tänak,250.0,6.0
Sébastien Loeb,250.0,
Sébastien Ogier,250.0,3.0
Thierry Neuville,250.0,2.0
Tommi Mäkinen,250.0,
Carlos Sainz,251.0,
Colin McRae,251.0,
Elfyn Evans,251.0,5.0
Mikko Hirvonen,251.0,
Ott Tänak,251.0,2.0
Sébastien Loeb,251.0,
Sébastien Ogier,251.0,4.0
Thierry Neuville,251.0,1.0
Tommi Mäkinen,251.0,
Carlos Sainz,252.0,
Colin McRae,252.0,
Elfyn Evans,252.0,6.0
Mikko Hirvonen,252.0,
Ott Tänak,252.0,2.0
Sébastien Loeb,252.0,
Sébastien Ogier,252.0,1.0
Thierry Neuville,252.0,5.0
Tommi Mäkinen,252.0,
Carlos Sainz,253.0,
Colin McRae,253.0,
Elfyn Evans,253.0,1.0
Mikko Hirvonen,253.0,
Ott Tänak,253.0,9.0
Sébastien Loeb,253.0,
Sébastien Ogier,253.0,1.0
Thierry Neuville,253.0,1.0
Tommi Mäkinen,253.0,
Carlos Sainz,254.0,
Colin McRae,254.0,
Elfyn Evans,254.0,
Mikko Hirvonen,254.0,
Ott Tänak,254.0,1.0
Sébastien Loeb,254.0,5.0
Sébastien Ogier,254.0,1.0
Thierry Neuville,254.0,6.0
Tommi Mäkinen,254.0,
Carlos Sainz,255.0,
Colin McRae,255.0,
Elfyn Evans,255.0,5.0
Mikko Hirvonen,255.0,
Ott Tänak,255.0,2.0
Sébastien Loeb,255.0,1.0
Sébastien Ogier,255.0,1.0
Thierry Neuville,255.0,3.0
Tommi Mäkinen,255.0,
Carlos Sainz,256.0,
Colin McRae,256.0,
Elfyn Evans,256.0,6.0
Mikko Hirvonen,256.0,
Ott Tänak,256.0,1.0
Sébastien Loeb,256.0,
Sébastien Ogier,256.0,4.0
Thierry Neuville,256.0,2.0
Tommi Mäkinen,256.0,
Carlos Sainz,257.0,
Colin McRae,257.0,
Elfyn Evans,257.0,2.0
Mikko Hirvonen,257.0,
Ott Tänak,257.0,
Sébastien Loeb,257.0,
Sébastien Ogier,257.0,
Thierry Neuville,257.0,1.0
Tommi Mäkinen,257.0,
Carlos Sainz,258.0,
Colin McRae,258.0,
Elfyn Evans,258.0,1.0
Mikko Hirvonen,258.0,
Ott Tänak,258.0,9.0
Sébastien Loeb,258.0,
Sébastien Ogier,258.0,2.0
Thierry Neuville,258.0,1.0
Tommi Mäkinen,258.0,
Carlos Sainz,259.0,
Colin McRae,259.0,
Elfyn Evans,259.0,7.0
Mikko Hirvonen,259.0,
Ott Tänak,259.0,1.0
Sébastien Loeb,259.0,
Sébastien Ogier,259.0,5.0
Thierry Neuville,259.0,9.0
Tommi Mäkinen,259.0,
Carlos Sainz,260.0,
Colin McRae,260.0,
Elfyn Evans,260.0,2.0
Mikko Hirvonen,260.0,
Ott Tänak,260.0,1.0
Sébastien Loeb,260.0,
Sébastien Ogier,260.0,4.0
Thierry Neuville,260.0,2.0
Tommi Mäkinen,260.0,
Carlos Sainz,261.0,
Colin McRae,261.0,
Elfyn Evans,261.0,1.0
Mikko Hirvonen,261.0,
Ott Tänak,261.0,1.0
Sébastien Loeb,261.0,
Sébastien Ogier,261.0,1.0
Thierry Neuville,261.0,1.0
Tommi Mäkinen,261.0,
Carlos Sainz,262.0,
Colin McRae,262.0,
Elfyn Evans,262.0,2.0
Mikko Hirvonen,262.0,
Ott Tänak,262.0,1.0
Sébastien Loeb,262.0,
Sébastien Ogier,262.0,1.0
Thierry Neuville,262.0,5.0
Tommi Mäkinen,262.0,
Carlos Sainz,263.0,
Colin McRae,263.0,
Elfyn Evans,263.0,3.0
Mikko Hirvonen,263.0,
Ott Tänak,263.0,6.0
Sébastien Loeb,263.0,1.0
Sébastien Ogier,263.0,2.0
Thierry Neuville,263.0,4.0
Tommi Mäkinen,263.0,
Carlos Sainz,264.0,
Colin McRae,264.0,
Elfyn Evans,264.0,6.0
Mikko Hirvonen,264.0,
Ott Tänak,264.0,
Sébastien Loeb,264.0,
Sébastien Ogier,264.0,5.0
Thierry Neuville,264.0,
Tommi Mäkinen,264.0,
Carlos Sainz,265.0,
Colin McRae,265.0,
Elfyn Evans,265.0,
Mikko Hirvonen,265.0,
Ott Tänak,265.0,3.0
Sébastien Loeb,265.0,4.0
Sébastien Ogier,265.0,1.0
Thierry Neuville,265.0,2.0
Tommi Mäkinen,265.0,
Carlos Sainz,266.0,
Colin McRae,266.0,
Elfyn Evans,266.0,5.0
Mikko Hirvonen,266.0,
Ott Tänak,266.0,1.0
Sébastien Loeb,266.0,7.0
Sébastien Ogier,266.0,2.0
Thierry Neuville,266.0,3.0
Tommi Mäkinen,266.0,
Carlos Sainz,267.0,
Colin McRae,267.0,
Elfyn Evans,267.0,3.0
Mikko Hirvonen,267.0,
Ott Tänak,267.0,2.0
Sébastien Loeb,267.0,
Sébastien Ogier,267.0,1.0
Thierry Neuville,267.0,4.0
Tommi Mäkinen,267.0,
Carlos Sainz,268.0,
Colin McRae,268.0,
Elfyn Evans,268.0,3.0
Mikko Hirvonen,268.0,
Ott Tänak,268.0,6.0
Sébastien Loeb,268.0,8.0
Sébastien Ogier,268.0,2.0
Thierry Neuville,268.0,1.0
Tommi Mäkinen,268.0,
Carlos Sainz,269.0,
Colin McRae,269.0,
Elfyn Evans,269.0,
Mikko Hirvonen,269.0,
Ott Tänak,269.0,8.0
Sébastien Loeb,269.0,
Sébastien Ogier,269.0,3.0
Thierry Neuville,269.0,1.0
Tommi Mäkinen,269.0,
Carlos Sainz,270.0,
Colin McRae,270.0,
Elfyn Evans,270.0,4.0
Mikko Hirvonen,270.0,
Ott Tänak,270.0,1.0
Sébastien Loeb,270.0,3.0
Sébastien Ogier,270.0,2.0
Thierry Neuville,270.0,
Tommi Mäkinen,270.0,
Carlos Sainz,271.0,
Colin McRae,271.0,
Elfyn Evans,271.0,5.0
Mikko Hirvonen,271.0,
Ott Tänak,271.0,1.0
Sébastien Loeb,271.0,
Sébastien Ogier,271.0,3.0
Thierry Neuville,271.0,2.0
Tommi Mäkinen,271.0,
Carlos Sainz,272.0,
Colin McRae,272.0,
Elfyn Evans,272.0,4.0
Mikko Hirvonen,272.0,
Ott Tänak,272.0,5.0
Sébastien Loeb,272.0,
Sébastien Ogier,272.0,4.0
Thierry Neuville,272.0,6.0
Tommi Mäkinen,272.0,
Carlos Sainz,273.0,
Colin McRae,273.0,
Elfyn Evans,273.0,
Mikko Hirvonen,273.0,
Ott Tänak,273.0,1.0
Sébastien Loeb,273.0,
Sébastien Ogier,273.0,5.0
Thierry Neuville,273.0,6.0
Tommi Mäkinen,273.0,
Carlos Sainz,274.0,
Colin McRae,274.0,
Elfyn Evans,274.0,
Mikko Hirvonen,274.0,
Ott Tänak,274.0,1.0
Sébastien Loeb,274.0,
Sébastien Ogier,274.0,7.0
Thierry Neuville,274.0,4.0
Tommi Mäkinen,274.0,
Carlos Sainz,275.0,
Colin McRae,275.0,
Elfyn Evans,275.0,
Mikko Hirvonen,275.0,
Ott Tänak,275.0,1.0
Sébastien Loeb,275.0,
Sébastien Ogier,275.0,1.0
Thierry Neuville,275.0,8.0
Tommi Mäkinen,275.0,
Carlos Sainz,276.0,
Colin McRae,276.0,
Elfyn Evans,276.0,5.0
Mikko Hirvonen,276.0,
Ott Tänak,276.0,1.0
Sébastien Loeb,276.0,
Sébastien Ogier,276.0,3.0
Thierry Neuville,276.0,2.0
Tommi Mäkinen,276.0,
Carlos Sainz,277.0,
Colin McRae,277.0,
Elfyn Evans,277.0,6.0
Mikko Hirvonen,277.0,
Ott Tänak,277.0,2.0
Sébastien Loeb,277.0,4.0
Sébastien Ogier,277.0,8.0
Thierry Neuville,277.0,1.0
Tommi Mäkinen,277.0,
Carlos Sainz,278.0,
Colin McRae,278.0,
Elfyn Evans,278.0,3.0
Mikko Hirvonen,278.0,
Ott Tänak,278.0,
Sébastien Loeb,278.0,6.0
Sébastien Ogier,278.0,2.0
Thierry Neuville,278.0,1.0
Tommi Mäkinen,278.0,
Carlos Sainz,279.0,
Colin McRae,279.0,
Elfyn Evans,279.0,1.0
Mikko Hirvonen,279.0,
Ott Tänak,279.0,2.0
Sébastien Loeb,279.0,
Sébastien Ogier,279.0,4.0
Thierry Neuville,279.0,6.0
Tommi Mäkinen,279.0,
Carlos Sainz,280.0,
Colin McRae,280.0,
Elfyn Evans,280.0,4.0
Mikko Hirvonen,280.0,
Ott Tänak,280.0,2.0
Sébastien Loeb,280.0,
Sébastien Ogier,280.0,1.0
Thierry Neuville,280.0,1.0
Tommi Mäkinen,280.0,
Carlos Sainz,281.0,
Colin McRae,281.0,
Elfyn Evans,281.0,4.0
Mikko Hirvonen,281.0,
Ott Tänak,281.0,1.0
Sébastien Loeb,281.0,
Sébastien Ogier,281.0,3.0
Thierry Neuville,281.0,
Tommi Mäkinen,281.0,
Carlos Sainz,282.0,
Colin McRae,282.0,
Elfyn Evans,282.0,1.0
Mikko Hirvonen,282.0,
Ott Tänak,282.0,1.0
Sébastien Loeb,282.0,3.0
Sébastien Ogier,282.0,
Thierry Neuville,282.0,2.0
Tommi Mäkinen,282.0,
Carlos Sainz,283.0,
Colin McRae,283.0,
Elfyn Evans,283.0,4.0
Mikko Hirvonen,283.0,
Ott Tänak,283.0,6.0
Sébastien Loeb,283.0,
Sébastien Ogier,283.0,3.0
Thierry Neuville,283.0,2.0
Tommi Mäkinen,283.0,
Carlos Sainz,284.0,
Colin McRae,284.0,
Elfyn Evans,284.0,2.0
Mikko Hirvonen,284.0,
Ott Tänak,284.0,2.0
Sébastien Loeb,284.0,
Sébastien Ogier,284.0,1.0
Thierry Neuville,284.0,
Tommi Mäkinen,284.0,
Carlos Sainz,285.0,
Colin McRae,285.0,
Elfyn Evans,285.0,2.0
Mikko Hirvonen,285.0,
Ott Tänak,285.0,
Sébastien Loeb,285.0,
Sébastien Ogier,285.0,1.0
Thierry Neuville,285.0,3.0
Tommi Mäkinen,285.0,
Carlos Sainz,286.0,
Colin McRae,286.0,
Elfyn Evans,286.0,5.0
Mikko Hirvonen,286.0,
Ott Tänak,286.0,1.0
Sébastien Loeb,286.0,
Sébastien Ogier,286.0,2.0
Thierry Neuville,286.0,3.0
Tommi Mäkinen,286.0,
Carlos Sainz,287.0,
Colin McRae,287.0,
Elfyn Evans,287.0,2.0
Mikko Hirvonen,287.0,
Ott Tänak,287.0,4.0
Sébastien Loeb,287.0,
Sébastien Ogier,287.0,1.0
Thierry Neuville,287.0,3.0
Tommi Mäkinen,287.0,
Carlos Sainz,288.0,
Colin McRae,288.0,
Elfyn Evans,288.0,1.0
Mikko Hirvonen,288.0,
Ott Tänak,288.0,2.0
Sébastien Loeb,288.0,
Sébastien Ogier,288.0,3.0
Thierry Neuville,288.0,3.0
Tommi Mäkinen,288.0,
Carlos Sainz,289.0,
Colin McRae,289.0,
Elfyn Evans,289.0,2.0
Mikko Hirvonen,289.0,
Ott Tänak,289.0,2.0
Sébastien Loeb,289.0,
Sébastien Ogier,289.0,1.0
Thierry Neuville,289.0,3.0
Tommi Mäkinen,289.0,
Carlos Sainz,290.0,
Colin McRae,290.0,
Elfyn Evans,290.0,1.0
Mikko Hirvonen,290.0,
Ott Tänak,290.0,3.0
Sébastien Loeb,290.0,
Sébastien Ogier,290.0,1.0
Thierry Neuville,290.0,
Tommi Mäkinen,290.0,
Carlos Sainz,291.0,
Colin McRae,291.0,
Elfyn Evans,291.0,5.0
Mikko Hirvonen,291.0,
Ott Tänak,291.0,3.0
Sébastien Loeb,291.0,
Sébastien Ogier,291.0,4.0
Thierry Neuville,291.0,3.0
Tommi Mäkinen,291.0,
Carlos Sainz,292.0,
Colin McRae,292.0,
Elfyn Evans,292.0,4.0
Mikko Hirvonen,292.0,
Ott Tänak,292.0,6.0
Sébastien Loeb,292.0,
Sébastien Ogier,292.0,5.0
Thierry Neuville,292.0,1.0
Tommi Mäkinen,292.0,
Carlos Sainz,293.0,
Colin McRae,293.0,
Elfyn Evans,293.0,6.0
Mikko Hirvonen,293.0,
Ott Tänak,293.0,2.0
Sébastien Loeb,293.0,
Sébastien Ogier,293.0,3.0
Thierry Neuville,293.0,8.0
Tommi Mäkinen,293.0,
Carlos Sainz,294.0,
Colin McRae,294.0,
Elfyn Evans,294.0,1.0
Mikko Hirvonen,294.0,
Ott Tänak,294.0,2.0
Sébastien Loeb,294.0,
Sébastien Ogier,294.0,5.0
Thierry Neuville,294.0,
Tommi Mäkinen,294.0,
Carlos Sainz,295.0,
Colin McRae,295.0,
Elfyn Evans,295.0,2.0
Mikko Hirvonen,295.0,
Ott Tänak,295.0,
Sébastien Loeb,295.0,
Sébastien Ogier,295.0,4.0
Thierry Neuville,295.0,1.0
Tommi Mäkinen,295.0,
Carlos Sainz,296.0,
Colin McRae,296.0,
Elfyn Evans,296.0,2.0
Mikko Hirvonen,296.0,
Ott Tänak,296.0,
Sébastien Loeb,296.0,
Sébastien Ogier,296.0,1.0
Thierry Neuville,296.0,4.0
Tommi Mäkinen,296.0,
Carlos Sainz,297.0,
Colin McRae,297.0,
Elfyn Evans,297.0,2.0
Mikko Hirvonen,297.0,
Ott Tänak,297.0,
Sébastien Loeb,297.0,1.0
Sébastien Ogier,297.0,2.0
Thierry Neuville,297.0,6.0
Tommi Mäkinen,297.0,
Carlos Sainz,298.0,
Colin McRae,298.0,
Elfyn Evans,298.0,
Mikko Hirvonen,298.0,
Ott Tänak,298.0,2.0
Sébastien Loeb,298.0,
Sébastien Ogier,298.0,
Thierry Neuville,298.0,2.0
Tommi Mäkinen,298.0,
Carlos Sainz,299.0,
Colin McRae,299.0,
Elfyn Evans,299.0,5.0
Mikko Hirvonen,299.0,
Ott Tänak,299.0,2.0
Sébastien Loeb,299.0,
Sébastien Ogier,299.0,
Thierry Neuville,299.0,3.0
Tommi Mäkinen,299.0,
Carlos Sainz,300.0,
Colin McRae,300.0,
Elfyn Evans,300.0,2.0
Mikko Hirvonen,300.0,
Ott Tänak,300.0,6.0
Sébastien Loeb,300.0,
Sébastien Ogier,300.0,5.0
Thierry Neuville,300.0,5.0
Tommi Mäkinen,300.0,
Carlos Sainz,301.0,
Colin McRae,301.0,
Elfyn Evans,301.0,4.0
Mikko Hirvonen,301.0,
Ott Tänak,301.0,1.0
Sébastien Loeb,301.0,
Sébastien Ogier,301.0,
Thierry Neuville,301.0,4.0
Tommi Mäkinen,301.0,
Carlos Sainz,302.0,
Colin McRae,302.0,
Elfyn Evans,302.0,2.0
Mikko Hirvonen,302.0,
Ott Tänak,302.0,
Sébastien Loeb,302.0,8.0
Sébastien Ogier,302.0,4.0
Thierry Neuville,302.0,5.0
Tommi Mäkinen,302.0,
Carlos Sainz,303.0,
Colin McRae,303.0,
Elfyn Evans,303.0,2.0
Mikko Hirvonen,303.0,
Ott Tänak,303.0,3.0
Sébastien Loeb,303.0,
Sébastien Ogier,303.0,
Thierry Neuville,303.0,4.0
Tommi Mäkinen,303.0,
Carlos Sainz,304.0,
Colin McRae,304.0,
Elfyn Evans,304.0,4.0
Mikko Hirvonen,304.0,
Ott Tänak,304.0,1.0
Sébastien Loeb,304.0,
Sébastien Ogier,304.0,
Thierry Neuville,304.0,5.0
Tommi Mäkinen,304.0,
Carlos Sainz,305.0,
Colin McRae,305.0,
Elfyn Evans,305.0,2.0
Mikko Hirvonen,305.0,
Ott Tänak,305.0,1.0
Sébastien Loeb,305.0,
Sébastien Ogier,305.0,
Thierry Neuville,305.0,2.0
Tommi Mäkinen,305.0,
Carlos Sainz,306.0,
Colin McRae,306.0,
Elfyn Evans,306.0,
Mikko Hirvonen,306.0,
Ott Tänak,306.0,2.0
Sébastien Loeb,306.0,
Sébastien Ogier,306.0,
Thierry Neuville,306.0,1.0
Tommi Mäkinen,306.0,
Carlos Sainz,307.0,
Colin McRae,307.0,
Elfyn Evans,307.0,
Mikko Hirvonen,307.0,
Ott Tänak,307.0,3.0
Sébastien Loeb,307.0,
Sébastien Ogier,307.0,2.0
Thierry Neuville,307.0,4.0
Tommi Mäkinen,307.0,
Carlos Sainz,308.0,
Colin McRae,308.0,
Elfyn Evans,308.0,6.0
Mikko Hirvonen,308.0,
Ott Tänak,308.0,4.0
Sébastien Loeb,308.0,
Sébastien Ogier,308.0,1.0
Thierry Neuville,308.0,2.0
Tommi Mäkinen,308.0,
Carlos Sainz,309.0,
Colin McRae,309.0,
Elfyn Evans,309.0,5.0
Mikko Hirvonen,309.0,
Ott Tänak,309.0,2.0
Sébastien Loeb,309.0,
Sébastien Ogier,309.0,4.0
Thierry Neuville,309.0,1.0
Tommi Mäkinen,309.0,
Carlos Sainz,310.0,
Colin McRae,310.0,
