Driver,Serial,Race_Result
Colin McRae,83.0,
Elfyn Evans,83.0,
Mikko Hirvonen,83.0,
Ott Tänak,83.0,
Sébastien Loeb,83.0,1.0
Sébastien Ogier,83.0,
Thierry Neuville,83.0,
Tommi Mäkinen,83.0,
Carlos Sainz,84.0,
Colin McRae,84.0,7.0
Elfyn Evans,84.0,
Mikko Hirvonen,84.0,
Ott Tänak,84.0,
Sébastien Loeb,84.0,3.0
Sébastien Ogier,84.0,
Thierry Neuville,84.0,
Tommi Mäkinen,84.0,
Carlos Sainz,85.0,
Colin McRae,85.0,
Elfyn Evans,85.0,
Mikko Hirvonen,85.0,
Ott Tänak,85.0,
Sébastien Loeb,85.0,2.0
Sébastien Ogier,85.0,
Thierry Neuville,85.0,
Tommi Mäkinen,85.0,
Carlos Sainz,86.0,
Colin McRae,86.0,
Elfyn Evans,86.0,
Mikko Hirvonen,86.0,
Ott Tänak,86.0,
Sébastien Loeb,86.0,1.0
Sébastien Ogier,86.0,
Thierry Neuville,86.0,
Tommi Mäkinen,86.0,
Carlos Sainz,87.0,
Colin McRae,87.0,
Elfyn Evans,87.0,
Mikko Hirvonen,87.0,3.0
Ott Tänak,87.0,
Sébastien Loeb,87.0,1.0
Sébastien Ogier,87.0,
Thierry Neuville,87.0,
Tommi Mäkinen,87.0,
Carlos Sainz,89.0,
Colin McRae,89.0,
Elfyn Evans,89.0,
Mikko Hirvonen,89.0,7.0
Ott Tänak,89.0,
Sébastien Loeb,89.0,2.0
Sébastien Ogier,89.0,
Thierry Neuville,89.0,
Tommi Mäkinen,89.0,
Carlos Sainz,90.0,
Colin McRae,90.0,
Elfyn Evans,90.0,
Mikko Hirvonen,90.0,1.0
Ott Tänak,90.0,
Sébastien Loeb,90.0,2.0
Sébastien Ogier,90.0,
Thierry Neuville,90.0,
Tommi Mäkinen,90.0,
Carlos Sainz,91.0,
Colin McRae,91.0,
Elfyn Evans,91.0,
Mikko Hirvonen,91.0,1.0
Ott Tänak,91.0,
Sébastien Loeb,91.0,1.0
Sébastien Ogier,91.0,
Thierry Neuville,91.0,
Tommi Mäkinen,91.0,
Carlos Sainz,92.0,
Colin McRae,92.0,
Elfyn Evans,92.0,
Mikko Hirvonen,92.0,9.0
Ott Tänak,92.0,
Sébastien Loeb,92.0,1.0
Sébastien Ogier,92.0,
Thierry Neuville,92.0,
Tommi Mäkinen,92.0,
Carlos Sainz,93.0,
Colin McRae,93.0,
Elfyn Evans,93.0,
Mikko Hirvonen,93.0,4.0
Ott Tänak,93.0,
Sébastien Loeb,93.0,1.0
Sébastien Ogier,93.0,
Thierry Neuville,93.0,
Tommi Mäkinen,93.0,
Carlos Sainz,94.0,
Colin McRae,94.0,
Elfyn Evans,94.0,
Mikko Hirvonen,94.0,
Ott Tänak,94.0,
Sébastien Loeb,94.0,1.0
Sébastien Ogier,94.0,
Thierry Neuville,94.0,
Tommi Mäkinen,94.0,
Carlos Sainz,95.0,
Colin McRae,95.0,
Elfyn Evans,95.0,
Mikko Hirvonen,95.0,2.0
Ott Tänak,95.0,
Sébastien Loeb,95.0,1.0
Sébastien Ogier,95.0,
Thierry Neuville,95.0,
Tommi Mäkinen,95.0,
Carlos Sainz,96.0,
Colin McRae,96.0,
Elfyn Evans,96.0,
Mikko Hirvonen,96.0,3.0
Ott Tänak,96.0,
Sébastien Loeb,96.0,2.0
Sébastien Ogier,96.0,
Thierry Neuville,96.0,
Tommi Mäkinen,96.0,
Carlos Sainz,97.0,
Colin McRae,97.0,
Elfyn Evans,97.0,
Mikko Hirvonen,97.0,9.0
Ott Tänak,97.0,
Sébastien Loeb,97.0,1.0
Sébastien Ogier,97.0,
Thierry Neuville,97.0,
Tommi Mäkinen,97.0,
Carlos Sainz,98.0,
Colin McRae,98.0,
Elfyn Evans,98.0,
Mikko Hirvonen,98.0,3.0
Ott Tänak,98.0,
Sébastien Loeb,98.0,2.0
Sébastien Ogier,98.0,
Thierry Neuville,98.0,
Tommi Mäkinen,98.0,
Carlos Sainz,99.0,
Colin McRae,99.0,
Elfyn Evans,99.0,
Mikko Hirvonen,99.0,3.0
Ott Tänak,99.0,
Sébastien Loeb,99.0,1.0
Sébastien Ogier,99.0,
Thierry Neuville,99.0,
Tommi Mäkinen,99.0,
Carlos Sainz,100.0,
Colin McRae,100.0,
Elfyn Evans,100.0,
Mikko Hirvonen,100.0,3.0
Ott Tänak,100.0,
